0.1	no_run	2	1	990
0.2	1_run	7	650	1907
0.3	1_wide	14	1800	2828
0.3(2)	no_run	14	2700	2828
0.4	FOUR	20	2900	3959
0.5	no_run	29	3800	5235
0.6	no_run	36	4900	7157
1.1	no_run	69	7300	8266
1.2	1_run	77	8400	9234
1.3	no_run 	83	9450	9866
1.4	no_run 	89	10750	10325
1.5	no_run	94	11850	10712
1.6	SIX	104	13000	11916
2.1	FOUR	115	14650	12936
2.2	FOUR 	122	15400	14944
2.3	1_run	168	16350	16463
2.4	SIX	173	16950	17432
2.5	1_run	178	17960	18582
2.6	1_run 	185	18620	19843
3.1	SIX	201	20600	20602
3.2	2_runs	204	21780	21086
3.3	FOUR_no_ball	208	23020	21839
3.3(2)	SIX	208	24460	21839
3.4	1_run	213	25760	22208
3.5	1_run	220	26960	22648
3.6	no_run	222	28000	24058
4.1	1_leg_bye	248	30000	25039
4.2	1_run	250	31180	26088
4.3	FOUR	257	32220	26929
4.4	1_run	260	33160	28041
4.5	OUT	270	34040	29152
4.6	no_run	274	37480	31289
5.1	no_run 	298	39300	31628
5.2	FOUR	306	40100	32005
5.3	no_run	311	41160	32666
5.4	1_leg_bye	317	41920	33152
5.5	1_run	323	43220	33510
5.6	no_run	326	44140	35084
6.1	1_run 	342	45680	35648
6.2	no_run 	348	46660	36129
6.3	no_run	357	47400	36648
6.4	1_run	361	48200	37011
6.5	1_run	366	49140	37867
6.6	no_run	374	49920	39184
7.1	1_run 	394	52200	39838
7.2	1_wide	402	53300	40326
7.2(2)	FOUR	402	54580	40326
7.3	no_run 	407	55620	41236
7.4	FOUR	417	56720	41728
7.5	no_run 	421	57860	42537
7.6	2_runs	430	58820	44584
Break	TIMEOUT	59580
8.1	no_run	463	65620	
8.2	no_run	474	66200	46216
8.3	no_run	569	66760	47272
8.4	1_run 	485	67360	48008
8.5	no_run	492	68040	48841
8.6	2_runs 	498	68830	48994
9.1	no_run	538	70740	62775
9.2	1_run	544	71760	63753
9.3	no_run	548	72900	64938
9.4	1_run 	552	73860	66025
9.5	1_run	558	75040	67073
9.6	2_runs	564	76130	69017
10.1	1_run	593	78310	69818
10.2	1_run	596	79160	70615
10.3	1_run	602	79920	71793
10.4	no_run	607	80760	72662
10.5	SIX	612	81460	73561
10.6	no_run	616	82500	75767
11.1	no_run 	629	84320	76610
11.2	SIX	635	84940	77731
11.3	2_runs	641	86480	78581
11.4	no_run	645	87240	79377
11.5	no_run	650	87720	80521
11.6	OUT	656	88520	81794
12.1	FOUR	685	91640	82635
12.2	no_run 	687	92940	83599
12.3	1_run	693	93620	84427
12.4	no_run 	696	94700	85428
12.5	no_run	701	95680	86393
12.6	no_run	707	96520	87869
13.1	1_run	719	98120	88909
13.2	no_run 	723	99700	89843
13.3	1_run	729	100720	90625
13.4	1_run	737	101740	91584
13.5	no_run	745	102780	92434
13.6	no_run 	749	103780	93761
14.1	1_run	777	105300	96221
14.2	1_run	782	106900	97114
14.3	1_run	787	107700	97973
14.4	1_run	791	108540	98874
14.5	1_run	795	109320	99724
14.6	no_run	799	110180	101732
15.1	1_run	824	111640	102355
15.2	SIX	828		112800
15.3	1_run	830	113800	104330
15.4	1_run	837	114780	104956
15.5	1_run	843	115800	106187
15.6	1_run	858	116950	113645
Break	TIMEOUT	117600
16.1	no_run	951	122250	114725
16.2	1_wide	956	123030	115217
16.2(2)	no_run	956	123850	115217
16.3	no_run	960	124550	115748
16.4	1_run	964	125260	116387
16.5	1_run	969	126400	117083
16.6	OUT	974	127350	118452
17.1	no_run	1008	130200	119086
17.2	FOUR	1011	131050	119541
17.3	no_run	1015	131950	120128
17.4	1_run	1018	132700	120603
17.5	1_run	1021	133900	121192
17.6	1_run	1025	134700	122364
18.1	no_run	1036	136820	122964
18.2	FOUR	1040	137650	123528
18.3	no_run	1044	138825	124124
18.4	SIX	1048	139825	140001
