0.1	OUT		2	1	990
0.2	no_run	7	1550	1907
0.3	no_run	14	1700	2828
0.4	1_run	20	2560	3959
0.5	2_run	29	3900	5235
0.6	FOUR	36	4910	7157
1.1	no_run	69	7250	8266
1.2	no_run	77	8320	9234
1.3	FOUR 	83	9390	9866
1.4	2_run 	89	10510	10325
1.5	1_run	94	11750	10712
1.6	no_run	104	13140	11916
2.1	no_run	115	15290	12936
2.2	no_run 	122	16160	14944
2.3	1_no_ball	168	17040	16463
2.3(2)	FOUR	758	18120	95392
2.4	no_run	173	19100	17432
2.5	1_run	178	19930	18582
2.6	no_run 	185	20880	19843
3.1	no_run	201	22520	20602
3.2	FOUR	204	23410	21086
3.3	1_leg_bye	208	24500	21839
3.4	1_run	213	25470	22208
3.5	FOUR	220	26440	22648
3.6	no_run	222	27620	24058
4.1	FOUR	248	29630	25039
4.2	no_run	250	30950	26088
4.3	1_run	257	32020	26929
4.4	no_run	260	33140	28041
4.5	FOUR	270	34110	29152
4.6	1_run	274	35230	31289
5.1	no_run 	298	37910	31628
5.2	1_run	306	38920	32005
5.3	no_run	311	39680	32666
5.4	1_run	317	40330	33152
5.5	1_run	323	41130	33510
5.6	1_run	326	41850	35084
6.1	no_run 	342	44090	35648
6.2	1_run 	348	44650	36129
6.3	1_run	357	45400	36648
6.4	1_run	361	46020	37011
6.5	1_run	366	46680	37867
6.6	1_run	374	47400	39184
7.1	no_run 	394	49550	39838
7.2	2_runs	402	50210	40326
7.3	no_run 	407	51140	41236
7.4	1_run	417	51780	41728
7.5	1_run 	421	52570	42537
7.6	1_run	430	53280	44584
Break	TIMEOUT	54810
8.1	1_run	463	60490	45377
8.2	no_run	474	61300	46216
8.3	FOUR	569	61790	47272
8.4	no_run 	485	62630	48008
8.5	1_run	492	63150	48841
8.6	1_run 	498	63770	48994
9.1	FOUR	538	66040	62775
9.2	1_run	544	66990	63753
9.3	no_runs	548	67930	64938
9.4	FOUR 	552	68690	66025
9.5	1_leg_bye	558	69580	67073
9.6	1_run	564	70680	69017
10.1	1_run	593	72580	69818
10.2	no_run	596	73540	70615
10.3	FOUR	602	74300	71793
10.4	no_run	607	75390	72662
10.5	2_run	612	76230	73561
10.6	1_run	616	77330	75767
11.1	1_run 	629	79650	76610
11.2	OUT	635	80460	77731
11.3	no_run	641	83500	78581
11.4	1_run	645	84330	79377
11.5	1_run	650	85260	80521
11.6	no_run	656	86430	81794
12.1	1_run	685	88260	82635
12.2	1_wide 	687	90330	83599
12.2(2)	OUT 	758	90900	95392
12.3	1_run	693	93540	84427
12.4	no_run 	696	94650	85428
12.5	1_run	701	95190	86393
12.6	1_run	707	95880	87869
13.1	1_run	719	98370	88909
13.2	no_run 	723	99720	89843
13.3	no_run	729	100500	90625
13.4	1_run	737	101580	91584
13.5	1_run	745	102570	92434
13.6	1_run 	749	103500	93761
14.1	1_run	777	104910	96221
14.2	OUT	782	105520	97114
14.3	FOUR	787	108200	97973
14.4	no_run	791	109460	98874
14.5	FOUR	795	110040	99724
14.6	1_run	799	110820	101732
Break	TIMEOUT	112060
15.1	2_runs	824	116640	102355
15.2	no_run	828	117620	102953
15.3	1_runs	830	118200	104330
15.4	1_run	837	119380	104956
15.5	OUT	843	120440	106187
15.6	no_run	858	122920	113645
16.1	1_run	951	125080	114725
16.2	2_runs	956	125960	115217
16.3	1_run	960	126880	115748
16.4	1_run	964	127800	116387
16.5	no_run	969	128620	117083
16.6	1_run	974	129540	118452
17.1	SIX	1008	132580	119086
17.2	1_run	1011	133500	119541
17.3	no_run	1015	134880	120128
17.4	2_wide	1018	135780	120603
17.4(2)	1_run	1018	136620	120603
17.5	no_run	1021	137600	121192
17.6	FOUR	1025	138420	122364
18.1	1_run	1036	140680	122964
18.2	1_run	1040	141600	123528
18.3	no_run	1044	142680	124124
18.4	1_run	1048	143620	124604
18.5	1_run	1052	144700	125149
18.6	no_run	1054	145760	126127
19.1	FOUR	1073	147400	126726
19.2	1_run 	1076	148700	127446
19.3	FOUR	1081	149500	128058
19.4	1_run	1084	150420	128739
19.5	FOUR	1091	151360	129255
19.6	1_leg_bye	1094	152640	167500
